task_id,dataset_name
CWE-285_codeql_1.py,SecurityEval_python
CWE-776_codeql_1.py,SecurityEval_python
CWE-918_codeql_2.py,SecurityEval_python
CWE-321_author_1.py,SecurityEval_python
CWE-1204_sonar_1.py,SecurityEval_python
CWE-078_codeql_1.py,SecurityEval_python
CWE-641_sonar_1.py,SecurityEval_python
6306092e73426c38ae68ad0b,CoderEval4Python_prompt
62b87af99a0c4fa8b80b3524,CoderEval4Python_prompt
62ece4992e6aefcf4aabbd82,CoderEval4Python_prompt
6306091b73426c38ae68acd7,CoderEval4Python_prompt
6306092d73426c38ae68ad07,CoderEval4Python_prompt
6306091a73426c38ae68acc8,CoderEval4Python_prompt
62ece4992e6aefcf4aabbd7f,CoderEval4Python_prompt
6306092e73426c38ae68ad09,CoderEval4Python_prompt
62b45e945108cfac7f210a4a,CoderEval4Python_prompt
62b8d23a48ba5a41d1c3f499,CoderEval4Python_prompt
62b87b7e9a0c4fa8b80b35bc,CoderEval4Python_prompt
62b45e175108cfac7f210a19,CoderEval4Python_prompt
62b869eab4d922cb0e688cbf,CoderEval4Python_prompt
HumanEval/98,HumanEval_python
HumanEval/21,HumanEval_python
HumanEval/65,HumanEval_python
HumanEval/137,HumanEval_python
HumanEval/92,HumanEval_python
HumanEval/37,HumanEval_python
HumanEval/162,HumanEval_python
HumanEval/88,HumanEval_python
HumanEval/49,HumanEval_python
20449427,SOEvalPython
19960077,SOEvalPython
